"start","word"
378.409,"very respected woman I have to"
383.179,"say it's great to be with"
385.519,"somebody of my friends"
387.05,"oh you will like me so much you"
390.409,"will get that business you know"
391.879,"all my life that business has"
393.199,"never had problems but in the"
394.58,"last seven or eight years it's"
396.979,"been tough with EPA with all of"
399.619,"the different difficulties you"
401.269,"going through you are going to"
402.619,"like Donald Trump and all of the"
404.419,"workers that get put to work"
406.309,"they're going to love Donald"
407.779,"Trump so that's good and I just"
410.36,"heard from Rocky Bleier indoor"
412.909,"space it can i say that i said"
416.569,"he's a tough cookie and he he"
418.129,"just endorse we have great"
419.839,"relationships and you know it's"
422.179,"really been something we've had"
423.949,"some great poll numbers come out"
425.629,"just today"
427.069,"rasmussen is five up national"
429.739,"way and I guess you probably so"
432.739,"high oh is doing great with four"
435.229,"or five up the Fox poll came out"
436.789,"last night and doing great"
439.099,"pretty much we're doing great"
440.029,"what we have to do great"
441.919,"Florida has been terrific and I"
444.229,"think we're going to have a big"
445.339,"big victory right here in the"
448.069,"state of Pennsylvania and i"
450.8,"think it's going to be a big"
451.669,"three"
452.389,"I went to school here my"
455.539,"children went to school here so"
457.009,"it's very very special place to"
459.499,"me i also want to thank the"
461.899,"Marcellus Shale coalition and"
465.409,"Ohio Oil & Gas Association and"
468.709,"the West Virginia all that West"
470.749,"Virginia what a what a victory"
473.029,"added there it was almost like"
475.489,"running on a post all of the"
478.849,"folks in West Virginia they have"
480.469,"been so great they have been"
482.209,"great"
483.019,"right from day one and now we"
486.589,"helped when Hillary made this"
488.089,"statement i'm going to put all"
489.409,"those mines and minors at a"
490.939,"business that was not a good"
492.11,"statement to make Adam maybe she"
494.419,"knows something I don't know but"
496.459,"your organization's represent"
498.229,"tens of thousands of jobs for"
500.809,"hardworking Americans let me"
503.389,"also recognize a really good"
505.699,"friend of mine and"
506.62,"amazing guy Harold Hamm where's"
508.84,"Harold is your selfless areas"
511.54,"what a great god i spent a half"
515.71,"an hour with Harold and tens of"
518.65,"dozens of hours and then I spent"
520.839,"so much time with with all of"
522.94,"these different folks but I"
524.11,"learn more and a half an hour"
525.22,"with Harold him that I made with"
526.6,"all of the consultants put"
527.83,"together that i can tell you but"
530.65,"they tell me that a Republican"
532.72,"can't carry the state of"
535.54,"Pennsylvania way do you see what"
537.7,"happens here what you see and I"
540.46,"don't believe it and you don't"
541.87,"believe it and I think you're"
543.58,"gonna have yourself not only"
544.75,"victory but a really big one"
546.279,"that's going to go a long way to"
547.779,"tell you what a wonderful"
548.77,"industry you're in and i have to"
550.51,"say do whatever you can to get"
552.49,"out of a november eight do"
554.11,"whatever you can"
555.43,"because a lot of things are"
557.32,"happening a lot of forces"
558.4,"happening"
559.12,"whatever you can so it's great"
561.76,"to be in Pittsburgh the steel"
563.26,"city a lot of friends here under"
565.69,"a trump administration we're"
567.339,"going to bring back our steel"
569.71,"jobs and we're going to rebuild"
572.35,"this nation so importantly"
574.9,"before going any further today i"
577.81,"want to address the turmoil"
579.37,"unfold and right now in our"
582.1,"country and it seems to be a"
584.56,"never-ending problem America"
587.83,"desperately needs unity and it"
590.68,"needs the spirit of togetherness"
591.85,"that has not really only got us"
595.51,"through our toughest times that"
596.86,"we've had some tough times but"
598.48,"which has lifted us up in the"
601.209,"past to our greatest"
602.89,"achievements as a nation every"
606.61,"day I see people of different"
608.8,"backgrounds working together for"
610.959,"a common good and we need to"
613.18,"bring that spirit to every part"
614.95,"of our country and become one"
617.44,"American nation united by shared"
621.58,"values and principles as"
624.58,"American citizens we have to do"
626.65,"it and we have to respect our"
628.6,"flag we have to respect our flag"
637.26,"we all have to walk a mile in"
639.72,"someone else's shoes see things"
642.57,"through their eyes and then get"
645.03,"to work fixing are very wounded"
647.64,"conky 10 minutes we have some"
650.16,"real problems and we do have a"
651.93,"wounded country many Americans"
654.75,"are watching the unrest in"
656.37,"charlotte folding right before"
659.4,"their eyes on the TV screens"
661.92,"others are witnessing the chaos"
664.53,"and the violence firsthand our"
667.02,"country looks bad to the world"
669.27,"especially when we are supposed"
