"start","word"
51.92,"they had seen before I"
55.309,"understand that just before work"
60.649,"exactly"
62.539,"instagram you're living in a"
65.72,"time going to get very close to"
68.479,"you"
73.42,"it's incredible things that's"
75.46,"going to underworld in our"
77.56,"country and we are going to get"
80.259,"smart vigilant"
84.68,"anything through colorado new"
99.26,"call to just"
115.37,"its water through and hunting"
119.99,"with his students use you know"
124.07,"you don't have a big crew"
127.34,"oh he's returning my mind but"
129.44,"we're gonna spend money"
138.86,"laters he would be awesome hard"
144.41,"with and we're up in Ohio and"
150.89,"we're up in Iowa were up eight"
153.2,"points in"
156.8,"four or five points in ohio and"
160.28,"amazing people look at what's"
162.44,"going on with our manufacturing"
164.12,"being sucked out of our country"
166.31,"we're not going to be having"
167.63,"that happen long though I'm"
169.01,"gonna happen long we're up in"
171.26,"North Carolina where up in many"
173.3,"many bowls nationwide the Los"
176.24,"Angeles Times has some six"
178.07,"points nationwide so we're good"
180.26,"we're good"
181.34,"another words I think we're"
182.81,"going to win is one of them"
188.14,"you know they call this"
189.37,"improvement and all over there"
191.47,"talking about it is a movement"
192.88,"bill o'reilly said one of the"
194.38,"great phenomenas is epistaxis"
196.48,"integrators political phenomenon"
198.97,"he's seen in his lifetime but"
200.41,"I'll tell you something it"
202.569,"doesn't mean anything window"
203.95,"when we're gonna win"
205.75,"it's going to be a big tree for"
209.26,"the people who it's going to be"
211.03,"a victory for you all the way in"
212.86,"that corner over there boy have"
215.11,"a lot of people this is a big"
218.62,"hangar and it's full big gang"
222.1,"and I appreciate it"
225.01,"starting in 2017 anything we"
228.7,"dream up for our country will be"
231.31,"achieved going to mention it's"
234.79,"time to start thinking of"
236.26,"dreaming big"
237.28,"we don't dream big anymore in"
238.75,"this country bigger than all of"
241.09,"those Betty politicians then"
243.4,"don't have a blu link our plan"
248.92,"begins when economic prosperity"
251.26,"my economic agenda can be summed"
253.959,"up in three very beautiful words"
257.41,"you know when they are jobs jobs"
260.229,"jobs"
264.6,"we're going to have a massive"
266.82,"tax reduction big big Lynn taxes"
