"start","word"
11.57,"thank you so much"
14.99,"what a great honor and privilege"
16.789,"to speak to you today the"
20.3,"American Legion is very very"
22.64,"special"
23.99,"so thank you very much i want to"
26.72,"thank commander Dale Barnett"
29.869,"your vice commanders and your"
33.17,"constitutional officers you have"
36.71,"all done such an incredible job"
40.73,"the fact is you are incredible"
42.739,"people"
44.45,"the men and women of the"
48.98,"American Legion represent the"
52.07,"best absolute best of America"
56.12,"strength courage selfless"
60.5,"devotion your organization and"
63.71,"its members have done so much to"
66.289,"defend our country our flag and"
69.38,"to advance the cause of"
71.33,"Americanism not globalism"
74.3,"remember America first America"
78.439,"first your one group I don't"
80.93,"have to tell you to remember it"
82.4,"also you know it we are in your"
85.67,"debt very deeply I will never"
88.88,"let you down"
95.19,"together we're going to work on"
99.51,"so many shared goals but i want"
103.74,"to begin by discussing one goal"
105.69,"that I know is so important to"
107.88,"you"
108.75,"promoting American pride and"
111.33,"patriotism in America's schools"
114.09,"very important in a trump"
120.57,"administration i plan to work"
123.18,"directly with the American"
125.04,"Legion to upholding our common"
127.38,"values and to help ensure they"
130.41,"are taught to America's children"
132.93,"we want our kids to learn the"
139.62,"incredible achievement of"
141.39,"America's history its"
143.19,"institutions and its heroes many"
146.55,"of whom are with us today I can"
148.65,"tell you including by the way to"
151.89,"special people"
153.27,"mayor Rudolph Giuliani and"
155.76,"Senator Jeff Sessions there"
158.58,"right"
167.46,"we will stop apologizing for"
171.33,"America and we will start"
173.55,"celebrating America we will be"
180.69,"united by our common culture"
183.48,"values and principles becoming"
187.02,"one American nation one country"
192.15,"under one Constitution saluting"
195.87,"one American flag and always"
199.08,"saluting"
205.44,"the flag all of you help to"
209.13,"protect and preserve that flag"
212.43,"deserves respect and I will work"
214.8,"with the American Legion to help"
217.35,"strength respect for our flag"
221.43,"you see what's happening"
222.99,"it's very very sad"
230.61,"and by the way we want young"
233.88,"Americans to recite the Pledge"
237,"of Allegiance"
243.9,"in addition to teaching respect"
247.019,"for the flag we also have to"
249.15,"make sure we give our military"
250.799,"the tools they need to defend"
253.14,"that flag and to deter violence"
255.989,"and aggression from our foreign"
258.539,"adversaries of which there are"
261.509,"many we will rebuild our"
267.03,"depleted military and pursue a"
270.96,"state-of-the-art missile defense"
274.32,"we will do it based on those"
282.479,"three very famous words peace"
286.5,"through strength"
293.71,"we will make sure our soldiers"
296.38,"sailors airmen and Marines have"
299.59,"the best equipment train tools"
303.22,"anywhere in the world nobody"
304.96,"will be able to compete with us"
306.82,"and we will ensure that they"
309.28,"have the best medical care in"
312.22,"the world"
313.15,"both in service and when they"
315.73,"return home as civilians"
326.5,"that will require a total reform"
330.28,"of the Veterans Administration"
331.51,"it's in very said shape i deal"
336.34,"with veterans all the time we"
338.2,"have tremendous veteran support"
339.61,"and the stories are here are so"
342.25,"sad"
343.6,"we're not going to have that"
345.22,"anymore I've laid out a 10-step"
352.96,"VA reform plan that you can"
355.9,"review on my website here the"
358.96,"bases"
359.95,"I will appoint the Secretary of"
361.87,"Veterans Affairs whose personal"
364.06,"mission will be to clean up the"
366.85,"VA the secretary soul man will"
370.87,"be to serve our veterans not"
373.63,"bureaucrats not politicians but"
375.76,"our great veterans"
383.34,"i'm going to use every lawful"
386.97,"authority to remove and"
389.31,"discipline anyone who fails our"
391.949,"veterans or breaches the public"
394.86,"trust which is what it is it's a"
396.479,"public trust I will appoint a"
398.82,"commission to investigate all"
401.19,"the wrongdoing at the VA and"
403.44,"there's plenty and then present"
405.57,"those findings to Congress as"
407.88,"the basis for reforming the"
410.31,"entire system we're going to get"
413.25,"you fantastic service it's going"
415.5,"to happen"
416.34,"believe me"
421.15,"will ensure every better in"
424.09,"America gets timely access to"
426.79,"top quality care including the"
