"id","name","author","title","description","url","urlToImage","publishedAt","content"
NA,"Gizmodo.com","Bryan Menegus","Voting Machine Hell, 2018: A Running List of Election Glitches, Malfunctions, and Screwups","The 2018 midterm elections are well underway, and you know what that means: another opportunity for local election commissions to display widespread incompetence and/or ratfuckery. Read more...","https://gizmodo.com/voting-machine-hell-2018-a-running-list-of-election-g-1830261900","https://i.kinja-img.com/gawker-media/image/upload/s--9iC_oOMz--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/b2e0ursbqqchpqjvetr3.jpg","2018-11-06T20:06:00Z","The 2018 midterm elections are well underway, and you know what that means: another opportunity for local election commissions to display widespread incompetence and/or ratfuckery. Just like every year I can recall, a slew of polling stations are reporting te… [+4083 chars]"
"the-new-york-times","The New York Times","THE UPSHOT STAFF","What Is the Needle?","Three forecast needle displays — for overall House control, House composition and the national popular vote — as they will appear before votes begin being counted on election night.","https://www.nytimes.com/2018/11/05/upshot/needle-election-night-2018-midterms.html","https://static01.nyt.com/images/2018/11/05/upshot/needle-3-by/needle-3-by-facebookJumbo.png","2018-11-06T18:06:48Z","No. Ninety percent means nine out of 10. No. The needle does not project winners. In some parts of the country, early voters and Election Day voters are very different. When a county reports all of its early votes in one large batch, the results may not mean … [+769 chars]"
"mashable","Mashable","Nicole Gallucci","Google's midterm election Doodle wants you to 'Go Vote'","Google wants its users to get out and vote — so much so that the website's latest Google Doodle is dedicated to the midterm elections. On Tuesday the search engine changed its iconic logo from ""Google"" to ""Go Vote."" If you click the Doodle, you're taken to th…","https://mashable.com/article/google-doodle-midterm-elections-go-vote/","https://i.amz.mshcdn.com/cw8mZqst4UOsQ5ZrZRfPcc0_eyw=/1200x630/2018%2F11%2F06%2Fa4%2Fc4e73789fd804c13b8f014b031544f80.0d7b4.png","2018-11-06T14:57:20Z","Google wants its users to get out and vote so much so that the website's latest Google Doodle is dedicated to the midterm elections. On Tuesday the search engine changed its iconic logo from ""Google"" to ""Go Vote."" If you click the Doodle, you're taken to the … [+587 chars]"
"techcrunch","TechCrunch","Jonathan Shieber","Bots Distorted the 2016 Election. Will the Midterms Be a Sequel?","Tiffany Olson Kleemann Contributor Tiffany Olson Kleemann is the chief executive officer of Distil Networks. She formerly served in executive roles at Symantec and FireEye and was deputy chief of staff for cybersecurity operations under President George W. Bu…","http://techcrunch.com/2018/11/05/midterm-elections-battle-bots/","https://techcrunch.com/wp-content/uploads/2018/07/Election-Interference-Events.jpg?w=753","2018-11-06T01:30:01Z","The fact that Russian-linked bots penetrated social media to influence the 2016 U.S. presidential election has been well documented and the details of the deception are still trickling out. In fact, on Oct. 17 Twitter disclosed that foreign interference datin… [+5896 chars]"
"techcrunch","TechCrunch","Zack Whittaker","Hours before U.S. election day, Facebook pulls dozens of accounts for ‘coordinated inauthentic behavior’","Facebook has pulled the plug on 30 accounts and 85 Instagram accounts that the company says were engaged in “coordinated inauthentic behavior.” Facebook’s head of cybersecurity policy Nathaniel Gleicher revealed the latest batch of findings in a late-night bl…","http://techcrunch.com/2018/11/05/day-before-election-day-facebook-pulls-inauthentic-accounts/","https://techcrunch.com/wp-content/uploads/2018/11/GettyImages-978073304.jpg?w=600","2018-11-06T04:33:36Z","Facebook has pulled the plug on 30 accounts and 85 Instagram accounts that the company says were engaged in “coordinated inauthentic behavior.” Facebook’s head of cybersecurity policy Nathaniel Gleicher revealed the latest batch of findings in a late-night bl… [+1715 chars]"
"the-new-york-times","The New York Times","MAGGIE ASTOR","Bad Weather Will Greet Voters From Florida to the Midwest","Signs for candidates in Florida, the farthest south a strong cold front could cause rain and wind on Election Day. The storm system could stretch from the Panhandle all the way up to Maine.","https://www.nytimes.com/2018/11/05/us/politics/election-day-weather-rain.html","https://static01.nyt.com/images/2018/11/06/us/politics/06weather/merlin_146259759_47c3ab51-0611-4fdd-8878-42b22cbd8a39-facebookJumbo.jpg","2018-11-06T02:51:12Z","Multiple studies have shown that bad weather on Election Day can decrease turnout, which in turn tends to help Republicans, because the groups most likely to be deterred from voting are those that tend to vote Democratic. But a more recent study, published la… [+1455 chars]"
NA,"Lifehacker.com","Emily Price","How to Get Free Stuff Today With Your 'I Voted' Sticker","Sporting your “I Voted” sticker around town today can potentially earn you a bit more than high-fives from fellow voters—it can get you free stuff. Read more...","https://lifehacker.com/how-to-get-free-stuff-today-with-your-i-voted-sticker-1830257456","https://i.kinja-img.com/gawker-media/image/upload/s--eLaMB5DN--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/pbcvfhuj7zlgdrmp9lcq.jpg","2018-11-06T18:45:00Z","Sporting your I Voted sticker around town today can potentially earn you a bit more than high-fives from fellow votersit can get you free stuff. Because this weeks election is a federal election where people are voting for members of Congress, offering incent… [+2226 chars]"
"cnn","CNN",NA,"How to watch: View CNN's Election Day coverage anywhere","With hundreds of political seats up for grabs Tuesday, the stakes are incredibly high. That's why CNN will be covering the midterm elections nonstop from across the country -- on air, online and on your phone.","https://www.cnn.com/2018/11/06/politics/cnn-how-to-watch-election-day/index.html","https://cdn.cnn.com/cnnnext/dam/assets/161108220532-70-election-day-1108-super-tease.jpg","2018-11-06T15:34:17Z","(CNN) With hundreds of political seats up for grabs Tuesday, the stakes are incredibly high. That's why CNN will be covering the midterm elections nonstop from across the country -- on air, online and on your phone. Here's a quick look at all the ways you can… [+2894 chars]"
"mashable","Mashable","Victoria Rodriguez","Students are ditching class and marching to the polls","High school and college students across the country are walking out of class on Election Day at 10 a.m. local time. Once again, the youth are proving the critics wrong and demonstrating they know how to organize. The Future Coalition, a community and network …","https://mashable.com/article/school-walkout-youth-vote-midterms/","https://i.amz.mshcdn.com/qO_o5JRwlNViBXyROTy73LLUxck=/1200x630/2018%2F11%2F06%2F46%2F2c0385cee86c496782ed67d7fb40ddfc.c951e.jpg","2018-11-06T18:35:38Z","High school and college students across the country are walking out of class on Election Day at 10 a.m. local time. Once again, the youth are proving the critics wrong and demonstrating they know how to organize. The Future Coalition, a community and network … [+2762 chars]"
NA,"Blog.google","Jason Wheeler","Election Day with Search","Today is Election Day— less commonly known as the first Tuesday after the first Monday of November—and people all across the country are heading to the polls to cast their votes. With many candidates, measures, and propositions on your ballot, Google tools ar…","https://www.blog.google/products/search/election-day-search/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+blogspot%2FMKuf+%28The+Keyword+%7C+Official+Google+Blog%29","https://www.blog.google/static/blogv2/images/google-200x200.7714256da16f.png","2018-11-06T08:00:00Z","Today is Election Day less commonly known as the first Tuesday after the first Monday of Novemberand people all across the country are heading to the polls to cast their votes. With many candidates, measures, and propositions on your ballot, Google tools are … [+679 chars]"
"techcrunch","TechCrunch","Brian Heater","Google’s Doodle commands you to Go Vote","I know, you’re cool. You don’t do anything the corporate overlords command. But maybe, just this once, make an exception. Today’s Google Doodle mixes up the ole’ rainbow color logo with a very simple message: Go Vote. I mean, you were going to do it anyway, r…","http://techcrunch.com/2018/11/06/googles-doodle-commands-you-to-go-vote/","https://techcrunch.com/wp-content/uploads/2018/11/Screen-Shot-2018-11-06-at-10.34.45-AM.png?w=764","2018-11-06T15:52:32Z","I know, youre cool. You dont do anything the corporate overlords command. But maybe, just this once, make an exception. Todays Google Doodle mixes up the ole rainbow color logo with a very simple message: Go Vote. I mean, you were going to do it anyway, right… [+664 chars]"
"the-new-york-times","The New York Times","MICHAEL D. SHEAR and MAGGIE HABERMAN","Trump Begins Midterm Election Day Bracing for Grim Political News, Aides Say","Voters across the country cast ballots in midterm contests that will deliver the first nationwide referendum on Mr. Trump’s presidency since he assumed office nearly two years ago.","https://www.nytimes.com/2018/11/06/us/politics/trump-midterm-elections.html","https://static01.nyt.com/images/2018/11/07/us/politics/07dc-trumpday/07dc-trumpday-facebookJumbo.jpg","2018-11-06T17:49:43Z","But the president did not like the ad, seeing it as visually off, aides said. Mr. Trump wanted to focus on immigration, so the campaigns final video depicted an illegal immigrant who had killed police officers. The video was deemed racist by a number of netwo… [+1219 chars]"
"the-new-york-times","The New York Times","THE NEW YORK TIMES","California Today: Election Day in California: Where to Vote and How to Follow the Results","What our reporters will be covering across the state, where to vote and check results, and endorsements from California newspapers.","https://www.nytimes.com/2018/11/06/us/california-today-election.html","https://static01.nyt.com/images/2018/11/06/us/06californiatoday-election/06californiatoday-election-facebookJumbo.jpg","2018-11-06T13:32:29Z","The San Francisco Chronicle also recommends Ms. Feinstein and Mr. Newsom and supports Propositions 1 and 2. Its editorial board is against Proposition 10, saying the measure would entrust another vast swath of housing policy to the very same officials and pro… [+1617 chars]"
NA,"Gizmodo.com","Tom McKay","Report: Georgia Officials Are Patching Election Security Holes After Insisting Everything Was Just Fine","Georgia Secretary of State Brian Kemp, who has refused to recuse his position as the state’s top election monitor as he runs for governor on the Republican ticket, is running a desperate race against his opponent, Democrat Stacey Abrams.  Georgia is a Republi…","https://gizmodo.com/report-georgia-officials-are-patching-election-securit-1830243488","https://i.kinja-img.com/gawker-media/image/upload/s--yhtdaLHs--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/qqpthfla1q9ovmewhcgi.jpg","2018-11-06T04:35:00Z","Georgia Secretary of State Brian Kemp, who has refused to recuse his position as the states top election monitor as he runs for governor on the Republican ticket, is running a desperate race against his opponent, Democrat Stacey Abrams. Georgia is a Republica… [+5499 chars]"
NA,"Gizmodo.com","Tom McKay","Facebook Election News Dump: We Banned Some More Stuff, Though What Kind of Stuff Is Unclear","Facebook, whose handling of the nation’s last major election has become a sprawling, headache-inducing public relations nightmare, has been eagerly touting how much better it plans to do in the future. (Have you heard of its very important and definitely supe…","https://gizmodo.com/facebook-election-news-dump-we-banned-some-more-stuff-1830245651","https://i.kinja-img.com/gawker-media/image/upload/s--RjLGmhl0--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/vrdyskpzefespzrsyhgr.jpg","2018-11-06T05:55:00Z","Facebook, whose handling of the nations last major election has become a sprawling, headache-inducing public relations nightmare, has been eagerly touting how much better it plans to do in the future. (Have you heard of its very important and definitely super… [+2748 chars]"
NA,"Gizmodo.com","Bryan Menegus","PSA: Don't Sell Your Vote on eBay Like This Person Is Doing","One Gizmodo staffer described the above eBay auction for the seller’s vote in the 2020 presidential election as “the ultimate American thing to do.” Which is true: Grifts, scams, and all manner of get-rich-quick schemes may be one of our country’s most hallow…","https://gizmodo.com/psa-dont-sell-your-vote-on-ebay-like-this-person-is-do-1830250507","https://i.kinja-img.com/gawker-media/image/upload/s--x_-F2p8---/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/hvescpxjyrpze3arjc82.png","2018-11-06T15:15:00Z","One Gizmodo staffer described the above eBay auction for the sellers vote in the 2020 presidential election as the ultimate American thing to do. Which is true: Grifts, scams, and all manner of get-rich-quick schemes may be one of our countrys most hallowed p… [+1373 chars]"
NA,"Gizmodo.com","Melanie Ehrenkranz","Again With the Needle","For those of you who stayed up to watch the polling numbers roll in during the 2016 presidential election, you likely remember that fucking needle. The New York Times tracked the leading candidates’ odds of winning, and also our collective descent into madnes…","https://gizmodo.com/again-with-the-needle-1830266170","https://i.kinja-img.com/gawker-media/image/upload/s--N7jwiUqt--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/vrnvvhhogmeghnb9rhxv.jpg","2018-11-06T22:53:00Z","For those of you who stayed up to watch the numbers roll in during the 2016 presidential election, you likely remember that fucking needle. The New York Times tracked the leading candidates odds of winning, and also our collective descent into madness. Well i… [+601 chars]"
"mashable","Mashable","Marcus Gilmer","Garfield the cat just pissed off a bunch of people on Election Day","The midterm elections have outdone themselves in terms of absurdity thanks to Garfield, the cartoon cat whose comic strip hasn't been funny since President Ronald Reagan left the White House. Yes, Garfield, the cat who loves lasagna and hates Mondays, is appa…","https://mashable.com/article/garfield-the-cat-vote-instagram/","https://i.amz.mshcdn.com/LCTZYEqozIYGT33WOfMoh98k-po=/1200x630/2018%2F11%2F06%2F3a%2F99bab79f611943e89376514cb955b490.6ddc5.png","2018-11-06T22:26:16Z","The midterm elections have outdone themselves in terms of absurdity thanks to Garfield, the cartoon cat whose comic strip hasn't been funny since President Ronald Reagan left the White House. Yes, Garfield, the cat who loves lasagna and hates Mondays, is appa… [+1022 chars]"
"mashable","Mashable","Adam Rosenberg","On election day, even astronauts in space get to cast their vote","For most U.S. voters, living or working far from home isn't a barrier to voting on election day. That's what absentee ballots are for. But what if you work someplace really far away, like say... outer space? American astronauts get to vote just like everyone …","https://mashable.com/article/can-nasa-astronauts-vote-in-space/","https://i.amz.mshcdn.com/hU6azEs5qcqUrnGqlQaqxUhUqnQ=/1200x630/2018%2F11%2F06%2F4b%2F28f000d7416d4cf2a52a8d7112884ec0.db9c6.jpg","2018-11-06T17:46:18Z","For most U.S. voters, living or working far from home isn't a barrier to voting on election day. That's what absentee ballots are for. But what if you work someplace really far away, like say... outer space? American astronauts get to vote just like everyone … [+1420 chars]"
"techcrunch","TechCrunch","Sarah Perez","How to stream U.S. elections coverage if you don’t have TV","You don’t need a TV to tune into live coverage of the U.S. elections results today – and you don’t have to have Hulu or another live TV streaming service, either. YouTube announced today a list of news organizations that will be broadcasting live elections co…","http://techcrunch.com/2018/11/06/how-to-stream-u-s-elections-coverage-if-you-dont-have-tv/","https://techcrunch.com/wp-content/uploads/2016/02/vote-button-mobile.png?w=711","2018-11-06T20:37:44Z","You don’t need a TV to tune into live coverage of the U.S. elections results today – and you don’t have to have Hulu or another live TV streaming service, either. YouTube announced today a list of news organizations that will be broadcasting live elections co… [+2334 chars]"
"cnn","CNN","Eliott C. McLaughlin, CNN","He died for democracy so it's 'fitting' his body comes home on Election Day, widow says","The widow of a Utah mayor fatally shot while serving in Afghanistan met his body in Dover, Delaware, on Tuesday before delivering a poignant statement on the importance of voting, a cause for which her husband was willing to die.","https://www.cnn.com/2018/11/06/asia/utah-mayor-soldier-killed-afghanistan-wife-dover/index.html","https://cdn.cnn.com/cnnnext/dam/assets/181103200047-brent-taylor-afghanistan-us-service-member-killed-super-tease.jpg","2018-11-06T14:09:31Z","(CNN) The widow of a Utah mayor fatally shot while serving in Afghanistan met his body in Dover, Delaware, on Tuesday before delivering a poignant statement on the importance of voting, a cause for which her husband was willing to die. Following the dignified… [+4516 chars]"
"the-washington-post","The Washington Post",NA,"Forget the Russians. On this Election Day, it's Americans peddling disinformation and hate speech. - Washington Post","Washington Post Forget the Russians. On this Election Day, it's Americans peddling disinformation and hate speech. Washington Post Former FBI agent Clint Watts was among the first to ring the alarm bell about Russia's audacious disinformation campaign during …","https://www.washingtonpost.com/technology/2018/11/06/forget-russians-this-election-day-its-americans-peddling-disinformation-hate-speech/","https://www.washingtonpost.com/resizer/qG8ekrw8VnFGP3WrBNeidTVChAM=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/W2LMFZS7QMI6RNSWENWGEFHPAE.jpg","2018-11-06T17:45:54Z","Former FBI agent Clint Watts was among the first to ring the alarm bell about Russias audacious disinformation campaign during the 2016 U.S. election. Two years later, as voters head to the polls in another hotly contested national election, Watts has more ba… [+8667 chars]"
NA,"Boingboing.net","Rusty Blazenhoff","Alaska wins election stickers race","For all of you in the U.S., no doubt your feeds are filling up with your friends showing off their ""I Voted"" stickers (and if they're not, uh, better get some new friends). But are their stickers as cool as the ones from Alaska? Artist Pat Race of Juneau was …","https://boingboing.net/2018/11/06/alaska-wins-election-stickers.html","https://media.boingboing.net/wp-content/uploads/2018/11/I-voted-stickers-Alaska-.jpg","2018-11-06T19:07:02Z","For all of you in the U.S., no doubt your feeds are filling up with your friends showing off their ""I Voted"" stickers (and if they're not, uh, better get some new friends). But are their stickers as cool as the ones from Alaska? Artist Pat Race of Juneau was … [+2118 chars]"
NA,"Wbtv.com","WBTV Web Staff","Voters in NC, SC to make several decisions at the polls on Election Day - WBTV","WBTV Voters in NC, SC to make several decisions at the polls on Election Day WBTV CHARLOTTE, NC (WBTV) - Voters head to the polls Tuesday for Election Day after early voting numbers increased since the 2014 election. Officials say the number of early voters w…","http://www.wbtv.com/2018/11/06/voters-nc-sc-make-several-decisions-polls-election-day/","http://www.wbtv.com/resizer/5fou_8no744UcwUSdl44YmzK83Y=/1200x0/arc-anglerfish-arc2-prod-raycom.s3.amazonaws.com/public/IENGI7JFPVDHLFDCOFPD6GNU2U.jpg","2018-11-06T10:32:00Z","CHARLOTTE, NC (WBTV) - Voters head to the polls Tuesday for Election Day after early voting numbers increased since the 2014 election. Officials say the number of early voters was a 73 percent increase with a 28.6 turnout rate as of Saturday evening. Final tu… [+2234 chars]"
NA,"Usnews.com",NA,"Voting Officials Under Scrutiny Amid Heavy Election Turnout - U.S. News & World Report","U.S. News & World Report Voting Officials Under Scrutiny Amid Heavy Election Turnout U.S. News & World Report State, local voting officials under scrutiny as Election Day dawns after the early voting period revealed myriad problems in several states. Nov. 6, …","https://www.usnews.com/news/politics/articles/2018-11-06/voting-officials-under-scrutiny-amid-heavy-election-turnout",NA,"2018-11-06T07:05:34Z",NA
"the-new-york-times","The New York Times","GIOVANNI RUSSONELLO","Best of Late Night: Samantha Bee Urges Viewers to Vote: ‘You Cannot Take This Election for Granted’","Bee admitted that she had felt confident Hillary Clinton would win the presidency in 2016, and said, “I certainly won’t make that mistake again.”","https://www.nytimes.com/2018/11/06/arts/television/samantha-bee-midterm-vote-turnout.html","https://static01.nyt.com/images/2018/11/06/arts/06latenight/06latenight-facebookJumbo.png","2018-11-06T09:32:37Z","Many states are seeing a massive turnout. For instance, Florida has seen a huge increase in young voters. Although, to be fair, in Florida a young voter is anyone under 75. JAMES CORDEN A Japanese man has broken the Guinness world record for the most skips ov… [+605 chars]"
"reuters","Reuters","Reuters Editorial","No signs of breaches in U.S. election infrastructure: DHS chief","There have so far been no signs of breaches in U.S. election infrastructure during voting in Tuesday's congressional elections, U.S. Department of Homeland Security Secretary Kirstjen Nielsen said.","https://www.reuters.com/article/us-usa-election-technology-dhs-idUSKCN1NB2K5","https://s2.reutersmedia.net/resources/r/?m=02&d=20181106&t=2&i=1322697151&w=1200&r=LYNXNPEEA51FF","2018-11-06T19:34:55Z","WASHINGTON (Reuters) - There have so far been no signs of breaches in U.S. election infrastructure during voting in Tuesday’s congressional elections, U.S. Department of Homeland Security Secretary Kirstjen Nielsen said. “At this time, we have no indication o… [+234 chars]"
"the-new-york-times","The New York Times",NA,"California Election Results - New York Times","New York Times California Election Results New York Times The Golden State has battlegrounds aplenty in the midterms, and if the Democrats are to achieve their goal of gaining control of the House, they will need to prevail in many of them. Read more. At the …","https://www.nytimes.com/interactive/2018/11/06/us/elections/results-california-elections.html","https://static01.nyt.com/images/2018/11/05/us/b3ca9c2e5e4759f36a14318040abdb453c4633146d7718cade101da67cfa4dea/b3ca9c2e5e4759f36a14318040abdb453c4633146d7718cade101da67cfa4dea-facebookJumbo.jpg","2018-11-06T14:55:48Z",NA
NA,"Npr.org","Laura Roman","Voters From Around The U.S. Share Their Election Day Stories","We asked voters to share their Election Day stories. Here's what they told us.","https://www.npr.org/2018/11/06/664738448/voters-from-around-the-u-s-share-their-election-day-stories","https://media.npr.org/assets/img/2018/11/06/gettyimages-1058113252_wide-845f4b35c6af36f7730ddb90fe2cc30ca717c24f.jpg?s=1400","2018-11-06T22:08:25Z","A woman and her children vote at a polling station during the mid-term elections at the Fairfax County bus garage in Lorton, Va. Andrew Caballero-Reynolds/AFP/Getty Images Election Day is upon us, which means many voters walked, biked or drove to their pollin… [+4304 chars]"
NA,"Cnet.com","CNET staff","Election Day: Google, Twitter, Uber urge you to vote - CNET","Tech companies are doing their part to help get Americans to the polls.","https://www.cnet.com/news/election-day-google-twitter-uber-remind-you-to-go-vote/","https://cnet1.cbsistatic.com/img/maGMYgmFL3E4QreS0rC-tTiVxbI=/724x407/2018/11/06/3eb8a240-da75-464d-bf17-e225a951ded3/vote-here-gettyimages-1058143338.jpg","2018-11-06T17:40:35Z","Voting booths are waiting for you nationwide. Jessica McGowan / Getty Images Millions of Americans are heading out to vote today. All 435 House seats are up for grabs in the midterm elections, along with 35 Senate seats, 39 state and territory governorships a… [+448 chars]"
NA,"Ibtimes.com","Susmitha Suresh","Election Day Weather: Rain, Snow, Tornadoes Across US To Affect Voter Turnout? - International Business Times","International Business Times Election Day Weather: Rain, Snow, Tornadoes Across US To Affect Voter Turnout? International Business Times Multiple reports Monday said United States could expect bouts of rain, snow, tornadoes and stormy weather across the count…","https://www.ibtimes.com/election-day-weather-rain-snow-tornadoes-across-us-affect-voter-turnout-2730205","https://s1.ibtimes.com/sites/www.ibtimes.com/files/styles/full/public/2018/11/06/election-day.jpg","2018-11-06T05:52:47Z","Multiple reports Monday said United States could expect bouts of rain, snow, tornadoes and stormy weather across the country on election day. This could affect the voter turnout as many people might not be able to make it to polling booths due to the harsh we… [+3154 chars]"
