num,URL,Author,Post,Month,Date,Year,date_code
1,https://bitcointalk.org/index.php?topic=976903.2280,Dotakels,"Quote from: danherbias07 on October 31, 2015, 01:25:59 PMQuote from: SebastianJu on October 30, 2015, 03:46:01 PMQuote from: kostya.ash on October 30, 2015, 02:11:58 PMQuote from: davinchi on October 30, 2015, 01:15:46 PMGambling is not the method for growing our bitcoin investments. Gambling may be a riskier way to grow your bitcoins if you're able to make some profits out of gambling.nope, in fact many people also make gambling as a primary way to grow their bitcoin,although risky, it is still a way to grow bitcoin,If you believe them then they either lied to you or they even lie to themselves.Check out the chats on the dice sites. All the regular gamblers lost money over time. It happens rarely that someone goes with big wins. And the more often you play the higher plays mathematics it's brutal law. You will lose.So no, gambling is never a way to grow your bitcoin when you start with the intention of growing it. It is a sure way to lose your money.An exception only are games where you can get an advantage in chances. Like poker or counting cards.Yes that is right. I find gambling more like if you want some excitement or needed some time to chill. But growing it through that? that is too riskyyou're right if you want excitement you can invest your money, but gamble is not the way to grow your coins, even if theres a risk in investing , if you ask someone which is better they would say its better to invest than to gamble.",11,1,2015,11_1_2015
2,https://bitcointalk.org/index.php?topic=976903.2280,nownow,Trading seems to be most reliable https://btcbee.xyz/methods-to-earn-bitcoin,11,1,2015,11_1_2015
3,https://bitcointalk.org/index.php?topic=976903.2280,Abiky,"Try to find an alternative coin which is suitable for trading in order to gain profits. What I have been doing is analyzing through the charts on Coinmarketcap and looking for a crypto which is worth 200 satoshis or less. Since most of them turn out to be worth between 100 to 200 satoshis, I just buy them very cheap and sell them when they are worth more than 200 satoshis. This does not always work, but it would surely grow your Bitcoins. ",11,1,2015,11_1_2015
4,https://bitcointalk.org/index.php?topic=976903.2280,Lahvacekmoney,http://chickenstrike.co.nf/ new hyip + mining game,11,2,2015,11_2_2015
5,https://bitcointalk.org/index.php?topic=976903.2280,SebastianJu,"Quote from: Lahvacekmoney on November 02, 2015, 12:17:28 AMhttp://chickenstrike.co.nf/ new hyip + mining gameThis is a thread for searching to grow the readers bitcoins, not growing your bitcoins.",11,2,2015,11_2_2015
6,https://bitcointalk.org/index.php?topic=976903.2280,Kanapka,"Sell sport tips, like Joca",11,2,2015,11_2_2015
7,https://bitcointalk.org/index.php?topic=976903.2280,winspiral,"Quote from: SebastianJu on November 02, 2015, 07:02:17 PMQuote from: Lahvacekmoney on November 02, 2015, 12:17:28 AMhttp://chickenstrike.co.nf/ new hyip + mining gameThis is a thread for searching to grow the readers bitcoins, not growing your bitcoins. it's not specified...who is ""your""?the readers?then every one is ""your"" (lol)",11,2,2015,11_2_2015
8,https://bitcointalk.org/index.php?topic=976903.2280,visual111,trading alts has been the best way for me. I started with very few coins and now have multiplied my holdings substantially. now if Bitcoin would just rise in price...then my fiat value wouldn't be so down!,11,2,2015,11_2_2015
9,https://bitcointalk.org/index.php?topic=976903.2280,Laosai,"Quote from: Lahvacekmoney on November 02, 2015, 12:17:28 AMhttp://chickenstrike.co.nf/ new hyip + mining gameI knew it, you'll post here your new ponzi site  Beware of this site guys, the rates were not reasonable IMO, additionaly the design is very simple..Quote from: winspiral on November 02, 2015, 07:24:59 PMQuote from: SebastianJu on November 02, 2015, 07:02:17 PMQuote from: Lahvacekmoney on November 02, 2015, 12:17:28 AMhttp://chickenstrike.co.nf/ new hyip + mining gameThis is a thread for searching to grow the readers bitcoins, not growing your bitcoins. it's not specified...who is ""your""?the readers?then every one is ""your"" (lol)Haha, that's funny  You made me laugh again after your previous investment system, which is a big joke",11,2,2015,11_2_2015
10,https://bitcointalk.org/index.php?topic=976903.2280,winspiral,"Quote from: Laosai on November 02, 2015, 07:57:34 PMQuote from: Lahvacekmoney on November 02, 2015, 12:17:28 AMhttp://chickenstrike.co.nf/ new hyip + mining gameI knew it, you'll post here your new ponzi site  Beware of this site guys, the rates were not reasonable IMO, additionaly the design is very simple..Quote from: winspiral on November 02, 2015, 07:24:59 PMQuote from: SebastianJu on November 02, 2015, 07:02:17 PMQuote from: Lahvacekmoney on November 02, 2015, 12:17:28 AMhttp://chickenstrike.co.nf/ new hyip + mining gameThis is a thread for searching to grow the readers bitcoins, not growing your bitcoins. it's not specified...who is ""your""?the readers?then every one is ""your"" (lol)Haha, that's funny  You made me laugh again after your previous investment system, which is a big joke One day my system is a ponzi...(for you)...one day it is a big joke.I prefer when you call it big joke.In fact,I have running so many sites that if you do not call if with its right name I can not know about wich you are talking.By the way:QuoteFree shares per claim are worth:772.58 SATOSHI. Big joke or not big joke... :772.58 SATOSHI for a claim will interess more than one.Ok...so far all the satoshi are till in my poket...Let us hope that winspiral is not a scammer (lol)Perhaps in the future people will not say:it's a ponzi but it's a winspiral (lol)",11,2,2015,11_2_2015
