"start","word"
85.12,"hello everyone it's great to be"
87.19,"here at UNC Greensboro"
95.52,"I want to thank Martha for that"
99.39,"wonderful introduction it means"
101.88,"so much to have her here along"
105.96,"with her wonderful daughter"
109.079,"Sarah and her mother Barbara and"
113.549,"the story she told is really one"
116.909,"that motivates me every day"
119.789,"because it is kids like Sarah"
122.969,"that led me to politics in the"
125.399,"first place to try to make our"
127.469,"country and our world better for"
129.869,"them so to see Sarah grown-up"
132.989,"and thriving is very special and"
135.63,"your whole family support really"
138.209,"means the world to me"
139.44,"Thank You Martha Sarah"
145.85,"I have to say it's great to be"
147.47,"back on the campaign trail"
155.54,"as as you may know I recently"
159.079,"had a cough that turned out to"
160.879,"be pneumonia"
162.68,"I i tried to power through it"
165.769,"but even I had to admit that"
168.769,"maybe a few days of rest would"
170.78,"do me good"
177.09,"i I'm not great at taking it"
179.64,"easy even under ordinary"
181.14,"circumstances but with just two"
184.17,"months to go until election day"
186.18,"sitting at home was pretty much"
191.58,"the last place I wanted to be"
193.379,"but it turns out having a few"
197.28,"days to myself was actually a"
200.64,"gift i talked with some old"
202.98,"friends i spent time with are"
205.2,"very sweet dogs i did some"
208.62,"thinking you know the campaign"
210.93,"trail doesn't really encourage"
213.51,"reflection and it's important to"
216.48,"sit with your thoughts every now"
218.28,"and then and that did help me"
221.37,"reconnect with what this whole"
223.799,"campaign is about people like me"
228.569,"we're lucky when I'm under the"
231.51,"weather"
256.45,"but i just want to have a"
257.92,"conversation and other people"
260.47,"can wave their arms and their"
262.93,"signs but i want you i want you"
267.25,"to think with me for a minute"
269.29,"about how I certainly feel lucky"
272.74,"when I'm under the weather i can"
274.48,"afford to take a few days off"
275.89,"millions of Americans can't say"
279.58,"either go to work sick or they"
281.5,"lose a paycheck don't think lots"
284.71,"of Americans still don't even"
286.27,"have insurance or they do but"
289.93,"it's too expensive for them to"
291.49,"actually use so they toss back"
295.63,"some tylenols they chug orange"
298.12,"juice and they hope that the"
299.32,"call for the virus goes away on"
301.84,"its own"
302.98,"lots of working parents can't"
306.04,"afford childcare which in many"
308.59,"states cost as much as college"
311.17,"tuition so for millions of moms"
313.93,"and dads if they get sick"
316.81,"there's no backup they're on"
319.15,"their own aren't they"
321.19,"that's a story for too many"
322.84,"people still in America when"
326.38,"illness strikes or an accident"
328.45,"happens you feel you're on your"
331.84,"own if you lose your job or can"
336.01,"afford College"
337.48,"you're on your own if you're"
339.88,"aging parent starts needing more"
341.68,"help and you don't know what to"
343.87,"do"
344.62,"you're on your own and it's like"
346.51,"these are catastrophic for some"
349.51,"families"
351.79,"I have met so many people living"
355.42,"on a Razors Edge one illness"
358.27,"away from losing their job one"
360.58,"paycheck away from losing their"
363.34,"home and that goes against"
365.8,"everything we stand for as"
367.99,"Americans because some things"
370.15,"should not come down to look"
372.97,"something should be within reach"
375.43,"for everyone no matter what"
388.38,"like financial security like"
392.16,"affordable healthcare like the"
395.01,"peace of mind that comes with"
397.68,"knowing that if something goes"
399.75,"wrong your family will be ok"
403.05,"and above all the knowledge that"
406.35,"no matter what your president is"
409.35,"fighting for you and will always"
411.33,"have your back"
422.8,"that right there that's why I"
424.99,"got into this race I am running"
427.419,"for everyone working hard to"
429.31,"support their families everyone"
431.8,"who's been knocked down but gets"
433.539,"back up"
441.58,"the factory workers on their"
443.379,"feet all day and the nurses"
445,"looking after patients all night"
446.83,"i'm running for young people"
449.229,"like so many of you here who"
451.06,"dream of changing our world for"
453.759,"the better and for all the"
454.96,"parents and grandparents"
456.34,"supporting those dreams by"
459.28,"dedicating every dollar they can"
461.979,"spare to your education"
469.81,"I'm running I'm running for the"
472.389,"LGBT teenager here in North"
474.639,"Carolina who sees your governor"
476.98,"signed a bill legalizing"
478.09,"discrimination and suddenly"
480.73,"feels like a second"
492.61,"and if anyone wonders what the"
494.59,"cost of discrimination are just"
496.539,"ask the people and businesses of"
498.28,"North Carolina look that's"
500.259,"what's happening with the"
