"start","word"
19.44,"you are"
24.5,"thank you"
30.5,"thank you all so much wow I'm i"
35.84,"am so happy to be back here and"
37.88,"I want on a beautiful fall day"
42.65,"to see all of you and I"
46.37,"especially want to thank Janelle"
49.07,"for her introduction and I so"
52.82,"appreciate that Janelle and Nora"
55.699,"and her husband's two are here"
58.76,"today I remember so well when I"
61.82,"met her back in 2015 and I saw"
65.72,"that sign and my best friend"
68.93,"from sixth grade was also going"
71.63,"through breast cancer and being"
73.97,"treated and when I saw Janelle"
76.43,"sign it just made me think about"
79.009,"my friend and i wanted to go"
80.78,"over and meet this woman who had"
83.899,"been through 13 chemo treatments"
86.69,"already and we just clicked and"
89.63,"I have been so grateful to be"
93.92,"able to get to know her better"
95.78,"and spend time with her when I"
98.09,"see here and I got to introduce"
100.46,"her to my best friend when my"
102.65,"best friend came to iowa so the"
105.17,"circle is completed and more"
108.08,"people are reaching out and"
110.509,"finding ways to help each other"
112.52,"now before i came out i had the"
117.56,"great great privilege of saying"
122.03,"hello to someone rule een"
124.88,"steinert who is as Raeleen still"
128.869,"here"
129.44,"I know she was going to try to"
130.61,"stay there she is hello relating"
134.51,"hello Elaine"
137.37,"Raeleen is a 103 year old"
144.33,"resident a pleasant kill who was"
150.209,"born in 1913"
156.89,"I am so grateful for her support"
160.069,"and I don't know if any of you"
161.27,"have seen the videos both about"
163.73,"Janelle and about ruling but i"
166.01,"really do recommend that you see"
168.709,"them both related talks about"
170.87,"this long active life that she's"
173.45,"had and everything she has seen"
175.49,"happen in America and the world"
177.41,"and I think it's important to"
180.02,"have that perspective so it's a"
182.39,"great honor to have Raeleen"
185.03,"supporting me i am so pleased"
187.73,"and she's going to go vote early"
190.55,"today to make sure her vote"
193.1,"counts i want to thank dr. Annie"
199.73,"Maguire for sharing the Iowa"
204.08,"Democratic Party fighting so"
206.72,"hard to elect Democrats and I"
210.17,"want to lift up and thank our"
212.9,"democratic senate candidate"
214.94,"happy judge where's patty"
221.65,"that is out there fighting hard"
224.049,"every single day and she can use"
226,"your help to make a strong case"
228.7,"for her to go to the Senate and"
232.269,"Jim our the third District"
234.849,"congressional candidate gym is"
238.39,"random running a great campaign"
240.37,"and we are really looking"
241.78,"forward to having him in"
243.579,"Washington but that really"
245.53,"depends upon everybody here and"
248.65,"everybody across the great state"
250.54,"of Iowa now while we're meeting"
254.049,"on this beautiful day here in"
255.609,"Des Moines I know that our"
257.979,"friends in cedar rapids and the"
260.65,"region are once again facing the"
263.47,"potential of flooding i talked"
266.289,"with the mayor I talked with"
268.84,"City Council members and other"
