"start","word"
110.44,"I am delighted to have this"
113.83,"great honor of being here and"
117.01,"having this opportunity to"
119.89,"address you"
121.21,"I want to thank the national"
123.34,"commander"
124.33,"Thank You commander Garnett I"
127.84,"want to thank burne-jones your"
130.51,"executive director and doing"
132.13,"moss age the commander and I"
135.55,"want to thank a longtime friend"
137.83,"and adviser to me someone whom I"
141.55,"am very grateful to and that is"
145.27,"your national treasure treasurer"
147.4,"George buskirk most of all"
151.87,"thanks to you all the"
155.62,"Legionnaires here and across"
157.39,"America thanks for your service"
160.69,"and our armed forces you are the"
164.05,"uniform you took an oath you put"
167.14,"your life on the line to protect"
169.72,"the greatest country on Earth s"
176.84,"ok"
178.54,"there are some may argue with"
180.37,"that but not around me when you"
184.9,"came home you join the American"
187.81,"Legion and by doing so you kept"
190.87,"serving just look at what the"
194.349,"Legion does you care for wounded"
198.25,"warriors you helped raise the"
202.09,"next generation of American"
204.22,"patriots i want to give a"
207.22,"special shout-out two boys"
209.5,"nation which meant so much to my"
211.81,"husband when he was growing up"
213.28,"and when I told him I was coming"
215.5,"here today he said you've got a"
217.15,"mention boys nation i told him i"
220.09,"would but i also have to mention"
221.379,"girls nation to"
227.8,"I want to thank your auxiliary"
230.86,"the world's largest women's"
234.43,"patriotic service organization"
242.26,"I was honored to receive the"
244.659,"auxiliary the public service"
246.549,"spirit award in 1997 and I have"
250,"great admiration for the work"
251.62,"you do as a daughter of a"
255.7,"veteran as a proud American i am"
260.769,"grateful to you all"
262.78,"now i'm not going to talk a lot"
265.72,"about politics today but I do"
267.4,"want to say this"
269.139,"whoever America elects this fall"
272.8,"we'll just be our next president"
275.62,"that person will be our next"
278.74,"commander-in-chief and every"
282.37,"person in this room understands"
286.449,"how great a responsibility that"
289.06,"is now I know some of you are"
292.72,"Democrats and some of you are"
295.84,"Republicans and some of you are"
297.49,"independence"
301.69,"I suppose there are some of you"
302.889,"who have never voted for a"
303.94,"Democrat before i get that my"
308.05,"dad was a rock ribbed Republican"
310.33,"but I learned at our dinner"
313.69,"table that we can disagree"
316.87,"without being disagreeable and"
323.82,"I want you to know if I am"
326.64,"fortunate enough to win this"
329.25,"election i will be a president"
332.52,"for Democrats Republicans"
334.2,"independence for people who vote"
337.26,"for me for people who don't for"
339.72,"all Americans that is what I"
341.76,"think we need we need to unify"
343.62,"our country and go forward into"
346.44,"the future with confidence and"
348.12,"optimism"
354.139,"today I want you to know a"
355.58,"little bit about where I stand"
357.319,"and how I see the world and"
359.12,"America's place in it"
360.889,"I spent four years as your"
364.279,"Secretary of State eight years"
367.729,"before that as senator from the"
371.06,"great state of New York six"
376.46,"years on the senate armed"
378.56,"services committee if there's"
381.68,"one core believe that has guided"
385.4,"and inspired me every step of"
387.889,"the way it is this the United"
390.86,"States is an exceptional nation"
394.069,"I believe we are still Lincoln's"
396.439,"last best hope of Earth we're"
400.639,"still Reagan's shining city on a"
403.729,"hill"
404.87,"we're still Robert Kennedy's"
406.879,"great unselfish compassionate"
409.879,"country"
411.4,"and it's not just that we have"
413.8,"the greatest military or that"
415.87,"our economy is larger than any"
418.66,"on earth it's also the strength"
422.68,"of our values the strength of"
425.229,"the American people everyone who"
428.08,"works harder dreams bigger and"
430.87,"never ever stops trying to make"
434.02,"our country and the world a"
435.82,"better place and part of what"
438.61,"makes America exceptional nation"
441.25,"is that we are also an"
444.46,"indispensable nation in fact we"
449.169,"are the indispensable nation"
451.21,"people all over the world look"
454.78,"to us and follow our lead"
457.449,"my friends we are so lucky to be"
460.99,"Americans it is an extraordinary"
463.419,"blessing"
465.16,"it's why so many people from so"
468.55,"many places want to be Americans"
472.03,"to but it's also a serious"
475.57,"responsibility the decisions we"
478.87,"make and the actions we take"
480.849,"even the actions we don't take"
484.33,"affect millions even billions of"
488.11,"lives you know that you've seen"
492.61,"it all of this may seem evident"
495.58,"especially two men and women who"
497.68,"have worn the uniform"
500.19,"you may wonder how anyone could"
502.59,"disagree but in fact my opponent"
507,"in this race has said very"
508.23,"clearly that he thinks american"
511.71,"exceptionalism is insulting to"
515.37,"the rest of the world in fact"
518.729,"when Vladimir Putin of all"
521.28,"people criticized American"
524.76,"exceptionalism my opponent"
527.91,"agreed with him saying and I"
530.97,"quote if you're in Russia you"
534.63,"don't want to hear that America"
536.04,"is exceptional"
538.8,"well maybe you don't want to"
540.39,"hear it but that doesn't mean"
543.42,"it's not true my opponent mrs."
547.05,"something important when we say"
550.71,"America is exceptional"
553.92,"it doesn't mean that people from"
555.54,"other places don't feel deep"
558.6,"national pride just like we do"
560.61,"it means that we recognize"
563.43,"America's unique and"
567.09,"unparalleled ability to be a"
570.39,"force for peace and progress a"
573.87,"champion for freedom and"
575.79,"opportunity"
577.74,"our power comes with a"
580.2,"responsibility to lead humbly"
583.47,"thoughtfully"
585.779,"and with a fierce commitment to"
588.06,"our values because when America"
591.209,"fails to lead we leave a vacuum"
593.129,"that either causes chaos or"
596.67,"other countries or networks rush"
599.639,"in to fill the void so no matter"
602.61,"how hard it gets no matter how"
604.769,"great the challenge America must"
607.889,"lead the question is how we"
611.129,"leave what kind of ideas"
