"start","word"
31.81,"ok"
41.42,"wow thank you all so much"
45.13,"I am so happy to be back and I"
48.97,"want to thank all of you for"
50.92,"being here today at the"
53.44,"frontline outreach Youth and"
55.39,"Family Center which does so much"
57.43,"good work in the community"
60.49,"I want to acknowledge your"
63.25,"terrific mayor mayor Buddy Dyer"
65.26,"who was here earlier i want to"
70.99,"thank pastor went Tiffany naming"
75.1,"the chair of the orange county"
76.36,"disability caucus and everyone"
79.27,"especially Val Demings where's"
82.75,"Val well I know got this crowd"
87.49,"really whipped up and I want you"
91.39,"to stay whipped up for valve she"
93.97,"is going to be a great member of"
96.67,"Congress for everything that we"
98.95,"care about and are fighting for"
104.55,"I want to thank Anastasia for"
107.22,"that introduction then she do an"
109.17,"amazing job"
114.53,"I first met Anastasia when she"
117.2,"was nine years old she raised"
120.74,"her hand at a town hall and she"
124.85,"said my twin sister can't speak"
128.209,"because of that they put her in"
131.6,"a separate class apart from the"
134.3,"rest of the kids but she can"
136.85,"communicate with a computer and"
140.3,"she's very smart and would do"
142.31,"just as well as anyone else if"
144.86,"the principal and teachers would"
146.6,"just give her a chance"
149.989,"I was just blown away by this"
152,"nine-year-old girl her"
154.64,"confidence and how much he loved"
157.1,"her sister so Anastasia and I"
160.22,"have stayed in touch over the"
162.019,"years when she grew up she"
165.41,"became an intern in the Senate I"
168.59,"was so proud of her speech at"
170.48,"the democratic national"
171.26,"convention in Philadelphia"
178.95,"and I'm very excited that she's"
180.78,"here with us today I also want"
184.68,"to thank orlando it's great to"
188.28,"be back in this wonderful city"
189.84,"with all of you"
191.31,"you've been through a lot this"
192.989,"year and what has been so"
199.53,"notable as you've responded with"
202.14,"grace you've shown the world"
204.84,"what Orlando is made of strength"
208.98,"love and kindness"
212.19,"this is something we could all"
214.62,"use more of right now"
223.39,"i'm here today to talk about how"
225.37,"to make our economy work for"
227.02,"everyone but first I need to say"
229.66,"something about two very"
230.77,"upsetting incidents that took"
233.02,"place over the past few days"
236.44,"first an unarmed man named"
238.45,"terrence Crutcher was shot and"
240.07,"killed by a police officer in"
242.23,"tulsa then a man named Keith"
245.17,"Lamont Scott was shot and killed"
247,"by a police officer in charlotte"
249.64,"i'm sending condolences and"
252.58,"prayers to their families"
254.44,"I know a lot of you are as well"
256.12,"there is still much we don't"
258.7,"know about what happened in both"
260.95,"incidents but we do know that we"
263.77,"have two more names to add to a"
265.72,"list of african americans killed"
267.7,"by police officers in these"
269.95,"encounters it's unbearable and"
272.8,"it needs to become intolerable"
275.41,"we also saw the targeting of"
279.28,"police officers in Philadelphia"
281.89,"last week and last night in"
285.34,"charlotte twelve officers were"
287.979,"injured in demonstrations"
