"start","word"
69.06,"it is so great to be here thank"
71.31,"you all so much and I was"
75.03,"backstage listening to Jordan"
78.329,"poke story and it was just so"
81.6,"powerful and moving and her"
85.289,"ability to stand up here talk"
87.75,"about her personal family"
89.85,"experience coming out of Katrina"
95.7,"staying strong moving forward"
100.17,"being a student here at Johnson"
103.56,"C smith University I am so"
106.02,"excited i want to thank her and"
112.229,"I want to thank dr. Carter thank"
115.289,"you for welcoming us here you"
119.549,"have welcome to clinton's in the"
121.17,"last year there's something"
124.259,"about this place that has"
125.64,"attracted both my husband and"
127.5,"myself I apologize for for being"
131.099,"late we had a disabled airplane"
133.47,"on the runway that had to get"
135.18,"moved it took a lot longer than"
136.89,"expected but I've been looking"
139.2,"forward to joining all of you"
141.75,"here in charlotte i want to"
144.03,"recognize and thank your mayor"
145.98,"mayor jennifer roberts there you"
148.23,"are"
148.769,"Thank You mayor Robert's want to"
151.59,"thank Trevor fuller chair of the"
153.66,"Mecklenburg County Commission I"
155.79,"want to acknowledge josh stein"
158.04,"candidate for attorney general"
160.35,"and to all of you gathered here"
164.01,"today it is 61 days until the"
167.7,"election"
171.04,"and I think it's so appropriate"
176.019,"to be here in the great state of"
179.17,"North Carolina"
182.99,"at a really well renowned eh you"
189.02,"know what Dante an HBCU"
190.34,"historically black college and"
192.38,"university that like so many"
196.04,"others has played such an"
197.54,"important role in our country's"
198.95,"history producing some of"
200.33,"America's finest leaders and i"
203.6,"am very proud I was just doing a"
205.94,"a phone call on the way here"
208.07,"with a lot of my young"
209.06,"organizers on college campuses"
210.98,"across our country and I got a I"
214.31,"got a question from a young"
215.66,"woman and another historically"
217.94,"black college university"
219.35,"Fayetteville and and I i told"
224.33,"her that i have a plan to help"
227.9,"all of you afford to go to"
230.42,"college"
235.89,"I have a plan to help all of you"
237.81,"with student debt to pay it down"
239.61,"and hand"
243.68,"and I have a special plan of a"
246.29,"25 billion dollar fund"
247.73,"specifically aimed at supporting"
249.739,"HBCUs because we we need a lot"
256.729,"of opportunities for young"
259.88,"people from everywhere"
261.56,"it shouldn't matter what you"
263.57,"look like where you're from or"
267.08,"who you love you deserve to be"
268.789,"in college if that is your"
270.86,"choice so right now we're up and"
274.37,"running"
275.06,"we're organizing across America"
277.13,"and as Jordan said this election"
280.94,"has such high stakes but the"
285.11,"highest stakes are for young"
286.25,"people young people across"
289.82,"America this election is going"
293.03,"to determine in so many ways"
295.52,"what kind of futures you will"
298.039,"have I don't say that lightly"
300.62,"everybody always says every"
303.289,"election is important i happen"
304.55,"to believe that I think it's one"
305.78,"of the great gifts of our"
307.849,"democracy that we have the"
310.52,"opportunity to choose our"
311.9,"leaders and people brave people"
316.55,"going back for so many years"
319.55,"have fought to preserve that"
321.44,"right and that right is under"
324.229,"attack right now"
326.76,"and it is under attack in North"
329.94,"Carolina of all places a state"
333.3,"that often set the standard for"
337.11,"moving everybody into the future"
339.27,"and I admired that so much"
342.66,"emphasis on education from"
345.33,"literally preschool through"
347.22,"college emphasis on research"
349.08,"emphasis on job creation and"
352.14,"innovation and now North"
355.68,"Carolina under the current"
358.02,"governor and legislature has"
359.97,"been trying to restrict people's"
362.1,"right to vote"
363.81,"well you know it"
368.43,"north carolina voters though one"
369.99,"important victory when a federal"
372,"court just struck down this"
373.65,"state's voter ID law"
378.9,"and the federal court brought"
380.729,"back more days of what's called"
382.65,"one-stop early voting and here's"
386.1,"what the court said this is not"
